Variable,LabelDefinition
ORD_CDR_NOIMP,Crude opiod-related death rate - non-imputed  
CANCER_DEATHS,# of cancer-related deaths - imputed  
CANCER_DEATHS_NOIMP,# of cancer-related deaths - non-imputed  
CANCER_CDR,Crude cancer-related death rate - imputed  
CANCER_CDR_NOIMP,Crude cancer-related death rate - non-imputed  
SHIP_COUNT,Total number of opioid shipments 
DOSAGE_UNIT,Total number of opioid pills distributed 
PCPV,Per capita opioid pill volume 
PILL_QUART,Per capita opioid pill volume - quartiles  
EXP_EARLY,Early state Medicaid expansion status 
NP_RX,Nurse practitioner prescribing authority 
PDMP_REQ_CHECK,Presription drug monitoring programs (PDMP) 
